name,level,region,address,price,open_time,visit_duration,best_visit_time,source_url,source_site,crawl_time
德胜公园,\N,\N,北二环从西直门至旧鼓楼大街南侧一段,门票价格：免费（此价格仅供参考，如有变动，请以景区实价为标准） 门票价格：免费（此价格仅供参考，如有变动，请以景区实价为标准） 门票价格：免费（此价格仅供参考，如有变动，请以景区实价为标准） 门票价格：免费（此价格仅供参考，如有变动，请以景区实价为标准） 门票价格：免费（此价格仅供参考，如有变动，请以景区实价为标准）,开放时间：全天,1小时,全年,https://s.visitbeijing.com.cn/attraction/119618,北京市文旅局/北京旅游网,2026-03-24T17:19:41
杨梅竹斜街,\N,\N,前门外西南，在大栅栏街西口往西大约半公里处。,门票价格：免费（此价格仅供参考，如有变动，请以景区实价为标准） 门票价格：免费（此价格仅供参考，如有变动，请以景区实价为标准） 门票价格：免费（此价格仅供参考，如有变动，请以景区实价为标准） 门票价格：免费（此价格仅供参考，如有变动，请以景区实价为标准） 门票价格：免费（此价格仅供参考，如有变动，请以景区实价为标准）,开放时间：全天,3小时,全年,https://s.visitbeijing.com.cn/attraction/119565,北京市文旅局/北京旅游网,2026-03-24T17:19:41
万寿西宫公园,\N,西城区,西城区白纸坊东街甲29号,门票价格：免费（门票价格仅供参考，实际票价以景区门市价为准） 门票价格：免费（门票价格仅供参考，实际票价以景区门市价为准） 门票价格：免费（门票价格仅供参考，实际票价以景区门市价为准） 门票价格：免费（门票价格仅供参考，实际票价以景区门市价为准） 门票价格：免费（门票价格仅供参考，实际票价以景区门市价为准）,夏季（5月1日—9月30日）：早6点至晚9点半 冬季（10月1日—4月30日）：早6点半至晚9点,1-2小时,全年皆宜,https://s.visitbeijing.com.cn/attraction/119297,北京市文旅局/北京旅游网,2026-03-24T17:19:42
北京展览馆,\N,西城区,北京市西城区西直门外大街135号,门票价格：免费 门票价格：免费 门票价格：免费 门票价格：免费 门票价格：免费,开放时间:8：00-18：00,2小时,全年,https://s.visitbeijing.com.cn/attraction/119018,北京市文旅局/北京旅游网,2026-03-24T17:19:42
官园公园,\N,西城区,北京市西城区后广平胡同36号,票价：免费 票价：免费 票价：免费 票价：免费 票价：免费,\N,2小时,全年,https://s.visitbeijing.com.cn/attraction/118416,北京市文旅局/北京旅游网,2026-03-24T17:19:42
玫瑰园,\N,\N,北三环马甸桥东北角,票价：免费 票价：免费 票价：免费 票价：免费 票价：免费,\N,2小时,全年,https://s.visitbeijing.com.cn/attraction/118415,北京市文旅局/北京旅游网,2026-03-24T17:19:42
梨园剧场,\N,西城区,北京市西城区永安路175号（前门建国饭店一层）,梨园剧场A区：580元 梨园剧场B区：480元 梨园剧场C区：380元 梨园剧场D区：280元 梨园剧场E区：180元 梨园剧场A区：580元 梨园剧场B区：480元 梨园剧场C区：380元 梨园剧场D区：280元 梨园剧场E区：180元 梨园剧场A区：580元 梨园剧场B区：480元 梨园剧场C区：380元 梨园剧场D区：280元 梨园剧场E区：180元 梨园剧场A区：580元 梨园剧场B区：480元 梨园剧场C区：380元 梨园剧场D区：280元 梨园剧场E区：180元 梨园剧场A区：580元 梨园剧场B区：480元 梨园剧场C区：380元 梨园剧场D区：280元 梨园剧场E区：180元,\N,\N,全年,https://s.visitbeijing.com.cn/attraction/118358,北京市文旅局/北京旅游网,2026-03-24T17:19:42
丰宣公园,\N,\N,菜户营桥东北角,门票价格：免费 门票价格：免费 门票价格：免费 门票价格：免费 门票价格：免费,\N,1小时,全年,https://s.visitbeijing.com.cn/attraction/118248,北京市文旅局/北京旅游网,2026-03-24T17:19:42
万寿公园,\N,西城区,西城区白纸坊东街甲29号,门票价格：免费 全园分设8个景区。园内除原有近千株树木外，新植松、柏、槐、银杏及各种灌木6800余株，栽宿根花卉6600余株(丛)，铺草坪2.5万余平方米，三季有花，突出秋色。有30多位书法家为各景点题铭。 门票价格：免费 全园分设8个景区。园内除原有近千株树木外，新植松、柏、槐、银杏及各种灌木6800余株，栽宿根花卉6600余株(丛)，铺草坪2.5万余平方米，三季有花，突出秋色。有30多位书法家为各景点题铭。 门票价格：免费 全园分设8个景区。园内除原有近千株树木外，新植松、柏、槐、银杏及各种灌木6800余株，栽宿根花卉6600余株(丛)，铺草坪2.5万余平方米，三季有花，突出秋色。有30多位书法家为各景点题铭。 门票价格：免费 全园分设8个景区。园内除原有近千株树木外，新植松、柏、槐、银杏及各种灌木6800余株，栽宿根花卉6600余株(丛)，铺草坪2.5万余平方米，三季有花，突出秋色。有30多位书法家为各景点题铭。 门票价格：免费 全园分设8个景区。园内除原有近千株树木外，新植松、柏、槐、银杏及各种灌木6800余株，栽宿根花卉6600余株(丛)，铺草坪2.5万余平方米，三季有花，突出秋色。有30多位书法家为各景点题铭。,\N,1小时,全年,https://s.visitbeijing.com.cn/attraction/118246,北京市文旅局/北京旅游网,2026-03-24T17:19:43
南礼士路公园,\N,西城区,西城区南礼士路58号,门票价格：免费 门票价格：免费 门票价格：免费 门票价格：免费 门票价格：免费,\N,1小时,全年,https://s.visitbeijing.com.cn/attraction/118237,北京市文旅局/北京旅游网,2026-03-24T17:19:43
北滨河公园,\N,西城区,西城区安德路102号,门票价格：免费 门票价格：免费 门票价格：免费 门票价格：免费 门票价格：免费,\N,1小时,全年,https://s.visitbeijing.com.cn/attraction/118236,北京市文旅局/北京旅游网,2026-03-24T17:19:43
顺城公园,\N,西城区,西城区西二环东侧(复兴门立交桥至管园路口),门票价格：免费 门票价格：免费 门票价格：免费 门票价格：免费 门票价格：免费,\N,1小时,全年,https://s.visitbeijing.com.cn/attraction/118235,北京市文旅局/北京旅游网,2026-03-24T17:19:43
北京护国寺,\N,西城区,西城区护国寺大街,免费 免费 免费 免费 免费,\N,2小时,常年,https://s.visitbeijing.com.cn/attraction/118044,北京市文旅局/北京旅游网,2026-03-24T17:19:43
北京市大栅栏商业街区,\N,西城区,北京市西城区廊坊二条44号,门票价格：无 大栅栏街原称廊房四条，距今已有近500年的历史。大栅栏处在古老北京中心地段，是南中轴线的一个重要组成部分，历史上就是一个繁华的商业区。 门票价格：无 大栅栏街原称廊房四条，距今已有近500年的历史。大栅栏处在古老北京中心地段，是南中轴线的一个重要组成部分，历史上就是一个繁华的商业区。 门票价格：无 大栅栏街原称廊房四条，距今已有近500年的历史。大栅栏处在古老北京中心地段，是南中轴线的一个重要组成部分，历史上就是一个繁华的商业区。 门票价格：无 大栅栏街原称廊房四条，距今已有近500年的历史。大栅栏处在古老北京中心地段，是南中轴线的一个重要组成部分，历史上就是一个繁华的商业区。 门票价格：无 大栅栏街原称廊房四条，距今已有近500年的历史。大栅栏处在古老北京中心地段，是南中轴线的一个重要组成部分，历史上就是一个繁华的商业区。,\N,1小时,5-10月,https://s.visitbeijing.com.cn/attraction/118009,北京市文旅局/北京旅游网,2026-03-24T17:19:43
北京市宣武艺园,3A,西城区,西城区槐柏树街12号,免费 免费 免费 免费 免费,5月1日—9月30日：6:00-21:30 10月1日-4月30日：6:30-21:00,1小时,5-10月,https://s.visitbeijing.com.cn/attraction/118008,北京市文旅局/北京旅游网,2026-03-24T17:19:43
大观楼影城,\N,西城区,北京市西城区前门大栅栏街36号,门票价格：35元 大观楼影院始建于一九零五年，是中国早期影院之一。由大观楼影院第一任经理任景奉拍摄的首部中国电影《定军山》就是在大观楼上映的。 门票价格：35元 大观楼影院始建于一九零五年，是中国早期影院之一。由大观楼影院第一任经理任景奉拍摄的首部中国电影《定军山》就是在大观楼上映的。 门票价格：35元 大观楼影院始建于一九零五年，是中国早期影院之一。由大观楼影院第一任经理任景奉拍摄的首部中国电影《定军山》就是在大观楼上映的。 门票价格：35元 大观楼影院始建于一九零五年，是中国早期影院之一。由大观楼影院第一任经理任景奉拍摄的首部中国电影《定军山》就是在大观楼上映的。 门票价格：35元 大观楼影院始建于一九零五年，是中国早期影院之一。由大观楼影院第一任经理任景奉拍摄的首部中国电影《定军山》就是在大观楼上映的。,旺季开放时间：9：30-22：00 淡季开放时间：9：30-22：00,1小时,全年,https://s.visitbeijing.com.cn/attraction/117846,北京市文旅局/北京旅游网,2026-03-24T17:19:44
北京老舍茶馆,3A,西城区,北京市西城区前门西大街3号楼,免费 观看演出需要购买门票，演出票价根据不同的演出项目和座位区域有所不同。 免费 观看演出需要购买门票，演出票价根据不同的演出项目和座位区域有所不同。 免费 观看演出需要购买门票，演出票价根据不同的演出项目和座位区域有所不同。 免费 观看演出需要购买门票，演出票价根据不同的演出项目和座位区域有所不同。 免费 观看演出需要购买门票，演出票价根据不同的演出项目和座位区域有所不同。,10:00-21:30 茶庄（二层） 营业时间：10:00-22:00 四合茶院（二层） 营业时间：19:50-21:20 品珍楼(三层) 营业时间：11:00-14:00 17:00-20:00,2小时,全年,https://s.visitbeijing.com.cn/attraction/117834,北京市文旅局/北京旅游网,2026-03-24T17:19:44
